date,slug,title,description,url
15-Oct,ads,The Cost of Mobile Ads on 50 News Websites,We measured the mix of advertising and editorial on the mobile home pages of the top 50 news websites and found that more than half of all data came from ads and other content filtered by ad blockers. With Gregor Aisch and Wilson Andrews.,http://www.nytimes.com/interactive/2015/10/01/business/cost-of-mobile-ads.html
15-Sep,borders,Closing the Back Door to Europe,"Parts of the main route into Europe were blocked with razor-wire fences and other border controls, forcing migrants to take more dangerous paths. With Sarah Almukhtar and Derek Watkins.",http://www.nytimes.com/interactive/2015/09/15/world/europe/migrant-borders-europe.html
15-Aug,chemicals,Tianjin Blasts Expose the Dangerous Proximity of Toxic Chemicals in China,"After a deadly chemical warehouse explosion in Tianjin, we analyzed satellite photos to show that chemical facilities across China were dangerously close to schools, residential areas and major roads. With Patrick Boehler, K.K. Rebecca Lai, Vanessa Piao and Crystal Tse.",http://www.nytimes.com/interactive/2015/08/21/world/asia/tianjin-china-explosion-hazardous-chemical-sites.html
15-Jul,china-investments,The World According to China,"Where China has outsized influence around the world, based on an analysis of the foreign investments of every country in the world. With Gregor Aisch and K.K. Rebecca Lai.",http://www.nytimes.com/interactive/2015/07/24/business/international/the-world-according-to-china-investment-maps.html
15-May,drought,Your Contribution to the California Drought,The average American consumes more than 300 gallons of California water each week by eating food that was produced there. With Larry Buchanan and Haeyoun Park.,http://www.nytimes.com/interactive/2015/05/21/us/your-contribution-to-the-california-drought.html
15-Feb,timewarner,Stream of Foreign Wealth Flows to Elite New York Real Estate,"Motion graphics for an investigation into secret real estate ownership. Partly in response, the Treasury Department <a href=&rsquo;http://www.nytimes.com/2016/01/14/us/us-will-track-secret-buyers-of-luxury-real-estate.html&rsquo;>began identifying</a> and tracking secret buyers of high-end properties. With Louise Story, Stephanie Saul, Tom Giratikanon, Mika Gr&ouml;ndahl, Yuliya Parshina-Kottas, Graham Roberts and Jeremy White.",http://www.nytimes.com/2015/02/08/nyregion/stream-of-foreign-wealth-flows-to-time-warner-condos.html
14-Jul,plagiarism,How Senator John Walsh Plagiarized a Final Paper,"Graphic showing how a senator took most of a 2007 final paper required for his master&rsquo;s degree from other sources without proper attribution. Two weeks after the story and graphic were published, Mr. Walsh dropped his election bid. Story by Jonathan Martin; graphic with Matthew Ericson and Nick Corasiniti.",http://www.nytimes.com/interactive/2014/07/23/us/politics/john-walsh-final-paper-plagiarism.html
14-Jul,toll,"The Toll in Gaza and Israel, Day by Day",A 29-day visual diary of violence between Israel and Hamas. With Karen Yourish and many others.,http://www.nytimes.com/interactive/2014/07/15/world/middleeast/toll-israel-gaza-conflict.html
14-Jun,soccer-styles,How We Play the Game,Diagramming classic goals for a series of essays on soccer and national character. With Andrew Das and Alicia DeSantis.,http://www.nytimes.com/interactive/2014/06/15/sports/worldcup/how-we-play.html
14-Jun,ball,The World&rsquo;s Ball,"Exploding soccer balls. With Alicia DeSantis, Mika Gr&ouml;ndahl, Josh Keller, Graham Roberts and Bedel Saget.",http://www.nytimes.com/interactive/2014/06/13/sports/worldcup/world-cup-balls.html?ref=worldcup
14-Apr,winston,"A Star Player Accused, and a Flawed Rape Investigation",Design and graphics for an investigation by Walt Bogdanich into how Florida State mishandled an accusation that its star quarterback raped a student. The piece was the first in a series that was a finalist for a <a href=&rsquo;http://www.pulitzer.org/finalists/5380&rsquo;>Pulitzer Prize</a>. With Wilson Andrews and Meghan Louttit.,http://www.nytimes.com/interactive/2014/04/16/sports/errors-in-inquiry-on-rape-allegations-against-fsu-jameis-winston.html
14-Mar,mudslide,Houses in the Path of the Washington Mudslide,"With Alan Blinder, Larry Buchanan, Jon Huang, Josh Keller, Ian Lovett, Archie Tse and Karen Yourish.",http://www.nytimes.com/interactive/2014/03/26/us/houses-in-the-path-of-the-washington-mudslide.html
13-Dec,benghazi,A Deadly Mix in Benghazi,"Design and graphics for an investigation by David D. Kirkpatrick into the deadly attack on American diplomats in Benghazi, Libya. With Joe Burgess, David Furst, Xaqu&iacute;n G.V., Jon Huang, Heather Murphy, Sergio Pe&ccedil;anha and Graham Roberts.",http://www.nytimes.com/projects/2013/benghazi/
13-Nov,gunshots,Two Gunshots On a Summer Night,"Design and motion graphics for an investigation by Walt Bogdanich and Glenn Silber into how police have failed to investigate possible incidents of domestic violence by their own officers. With Nancy Donaldson, Mika Gr&ouml;ndahl, Xaqu&iacute;n G.V., Jon Huang, Graham Roberts and Catherine Spangler.",http://www.nytimes.com/projects/2013/two-gunshots/
13-Aug,reshaping,Reshaping New York,"An interactive tour of how how the city changed in 12 years of Mayor Mike Bloomberg. With Ford Fessenden, Tom Giratikanon, Archie Tse, Tim Wallace, Derek Watkins, Jeremy White and Karen Yourish.",http://www.nytimes.com/newsgraphics/2013/08/18/reshaping-new-york/
13-Jun,affirmative,How Minorities Have Fared in States With Affirmative Action Bans,An analysis with Ford Fessenden of how state bans on affirmative action in admissions have changed minority admissions at flagship universities. Portions of the graphic were <a href=&rsquo;https://twitter.com/aliciaparlap/status/458616945353306112&rsquo;>cited and reproduced</a> in Justice Sotomayor&rsquo;s dissent in Schuette v. Coalition to Defend Affirmative Action.,http://www.nytimes.com/interactive/2013/06/24/us/affirmative-action-bans.html
13-May,admissions,"At Top Colleges, an Admissions Gap for Minorities",Colleges with high graduation rates tend to enroll disproportionately low numbers of black and Hispanic students.,http://www.nytimes.com/interactive/2013/05/07/education/college-admissions-gap.html
